"cTribMun";"xTribMun";"Alíquota";"cTribNac";"xTribNac";
"1001";"10.01 - Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.";"5%";"100101";"Agenciamento, corretagem ou intermediação de câmbio.";
"1001";"10.01 - Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.";"5%";"100102";"Agenciamento, corretagem ou intermediação de seguros.";
"1001";"10.01 - Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.";"5%";"100103";"Agenciamento, corretagem ou intermediação de cartões de crédito.";
"1001";"10.01 - Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.";"5%";"100104";"Agenciamento, corretagem ou intermediação de planos de saúde.";
"1001";"10.01 - Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.";"5%";"100105";"Agenciamento, corretagem ou intermediação de planos de previdência privada.";
"1002";"10.02 - Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.";"5%";"100201";"Agenciamento, corretagem ou intermediação de títulos em geral e valores mobiliários.";
"1002";"10.02 - Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.";"5%";"100202";"Agenciamento, corretagem ou intermediação de contratos quaisquer.";
"1003";"10.03 - Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.";"5%";"100301";"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.";
"10031";"10.03 - Uniprofissional (Acima de 3 sócios) - Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária";"0%";"100301";"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.";
"10032";"10.03 - Uniprofissional (Até 3 sócios) - Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária";"0%";"100301";"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.";
"1004";"10.04 - Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).";"5%";"100401";"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing).";
"1004";"10.04 - Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).";"5%";"100402";"Agenciamento, corretagem ou intermediação de contratos de franquia (franchising).";
"1004";"10.04 - Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).";"5%";"100403";"Agenciamento, corretagem ou intermediação de faturização (factoring).";
"1005";"10.05 - Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.";"5%";"100501";"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, por quaisquer meios.";
"1005";"10.05 - Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.";"5%";"100502";"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.";
"1006";"10.06 - Agenciamento marítimo.";"5%";"100601";"Agenciamento marítimo.";
"1007";"10.07 - Agenciamento de notícias.";"5%";"100701";"Agenciamento de notícias.";
"1008";"10.08 - Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.";"5%";"100801";"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.";
"1009";"10.09 - Representação de qualquer natureza, inclusive comercial.";"5%";"100901";"Representação de qualquer natureza, inclusive comercial.";
"101";"01.01 - Análise e desenvolvimento de sistemas.";"5%";"010101";"Análise e desenvolvimento de sistemas.";
"1010";"10.10 - Distribuição de bens de terceiros.";"5%";"101001";"Distribuição de bens de terceiros.";
"102";"01.02 - Programação.";"5%";"010201";"Programação.";
"103";"01.03 - Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.";"5%";"010301";"Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.";
"103";"01.03 - Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.";"5%";"010302";"Armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.";
"104";"01.04 - Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres.";"5%";"010401";"Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres.";
"105";"01.05 - Licenciamento ou cessão de direito de uso de programas de computação.";"5%";"010501";"Licenciamento ou cessão de direito de uso de programas de computação.";
"106";"01.06 - Assessoria e consultoria em informática.";"5%";"010601";"Assessoria e consultoria em informática.";
"107";"01.07 - Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.";"5%";"010701";"Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.";
"108";"01.08 - Planejamento, confecção, manutenção e atualização de páginas eletrônicas.";"5%";"010801";"Planejamento, confecção, manutenção e atualização de páginas eletrônicas.";
"109";"01.09 - Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei no 12.485, de 12 de setembro de 2011, sujeita ao ICMS).";"5%";"010901";"Disponibilização, sem cessão definitiva, de conteúdos de áudio por meio da internet (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS).";
"109";"01.09 - Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei no 12.485, de 12 de setembro de 2011, sujeita ao ICMS).";"5%";"010902";"Disponibilização, sem cessão definitiva, de conteúdos de vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS).";
"1101";"11.01 - Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.";"5%";"110101";"Guarda e estacionamento de veículos terrestres automotores.";
"1101";"11.01 - Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.";"5%";"110102";"Guarda e estacionamento de aeronaves e de embarcações.";
"1102";"11.02 - Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.";"5%";"110201";"Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.";
"1103";"11.03 - Escolta, inclusive de veículos e cargas.";"5%";"110301";"Escolta, inclusive de veículos e cargas.";
